date,interconnection_point_type,interconnection_point,country,direction,transportation_amount
2020-01-02,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12826719.0
2020-01-02,Транскордонні точки,ГВС Каушани,Молдова,Вхід,5655420.0
2020-01-02,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3591728.0
2020-01-02,Транскордонні точки,Республіка Молдова,Молдова,Вихід,722478.0
2020-01-02,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9310998.0
2020-01-02,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,4128805.0
2020-01-02,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,25671467.0
2020-01-02,Транскордонні точки,ГВС Суджа,Росія,Вхід,12728431.0
2020-01-02,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,10600226.0
2020-01-02,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,6651366.0
2020-01-03,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1672615.5
2020-01-03,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51594031.73
2020-01-03,Мережі ОГРМ,ОГРМ,Україна,Вихід,115331152.6
2020-01-03,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,20035.0
2020-01-03,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,72415952.0
2020-01-03,Прямі споживачі,Прямі споживачі,Україна,Вихід,9858696.4
2020-01-03,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,7534236.0
2020-01-03,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12347596.0
2020-01-03,Транскордонні точки,ГВС Каушани,Молдова,Вхід,4718197.0
2020-01-03,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,4059723.0
2020-01-03,Транскордонні точки,Республіка Молдова,Молдова,Вихід,435570.0
2020-01-03,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9192971.0
2020-01-03,Транскордонні точки,ГВС Германовичі,Польща,Вхід,35208.0
2020-01-03,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,4290365.0
2020-01-03,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27165617.0
2020-01-03,Транскордонні точки,ГВС Суджа,Росія,Вхід,25393994.0
2020-01-03,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11725351.0
2020-01-03,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,21367862.0
2020-01-04,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1760936.77
2020-01-04,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51745581.37
2020-01-04,Мережі ОГРМ,ОГРМ,Україна,Вихід,113930964.7
2020-01-04,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,21196.0
2020-01-04,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,71677360.0
2020-01-04,Прямі споживачі,Прямі споживачі,Україна,Вихід,10416499.68
2020-01-04,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,9261427.0
2020-01-04,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12862272.0
2020-01-04,Транскордонні точки,ГВС Каушани,Молдова,Вхід,5734437.0
2020-01-04,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3549745.0
2020-01-04,Транскордонні точки,Республіка Молдова,Молдова,Вихід,492721.0
2020-01-04,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9085455.0
2020-01-04,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5277922.0
2020-01-04,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,22054941.0
2020-01-04,Транскордонні точки,ГВС Суджа,Росія,Вхід,18105518.0
2020-01-04,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11733737.0
2020-01-04,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,7637283.0
2020-01-05,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1658619.86
2020-01-05,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51315221.39
2020-01-05,Мережі ОГРМ,ОГРМ,Україна,Вихід,115622982.8
2020-01-05,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,20294.0
2020-01-05,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,77756867.0
2020-01-05,Прямі споживачі,Прямі споживачі,Україна,Вихід,9838617.48
2020-01-05,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,9119849.0
2020-01-05,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,14149275.0
2020-01-05,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6933083.0
2020-01-05,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3152259.0
2020-01-05,Транскордонні точки,Республіка Молдова,Молдова,Вихід,864647.0
2020-01-05,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9102976.0
2020-01-05,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,4804761.0
2020-01-05,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27140783.0
2020-01-05,Транскордонні точки,ГВС Суджа,Росія,Вхід,16308576.0
2020-01-05,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11712026.0
2020-01-05,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,8019931.0
2020-01-06,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1785114.12
2020-01-06,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51678483.36
2020-01-06,Мережі ОГРМ,ОГРМ,Україна,Вихід,118359553.3
2020-01-06,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,21677.0
2020-01-06,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,76995928.0
2020-01-06,Прямі споживачі,Прямі споживачі,Україна,Вихід,8867792.44
2020-01-06,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,9850612.0
2020-01-06,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,13678629.0
2020-01-06,Транскордонні точки,ГВС Каушани,Молдова,Вхід,5947138.0
2020-01-06,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,2908522.0
2020-01-06,Транскордонні точки,Республіка Молдова,Молдова,Вихід,775446.0
2020-01-06,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9139872.0
2020-01-06,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,3935045.0
2020-01-06,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27277334.0
2020-01-06,Транскордонні точки,ГВС Суджа,Росія,Вхід,34380304.0
2020-01-06,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11710902.0
2020-01-06,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,27598898.0
2020-01-07,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1884787.25
2020-01-07,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51382891.11
2020-01-07,Мережі ОГРМ,ОГРМ,Україна,Вихід,119201474.7
2020-01-07,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,21986.0
2020-01-07,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,76961175.0
2020-01-07,Прямі споживачі,Прямі споживачі,Україна,Вихід,7899287.84
2020-01-07,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,9914640.0
2020-01-07,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,13551224.0
2020-01-07,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6284411.0
2020-01-07,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3017145.0
2020-01-07,Транскордонні точки,Республіка Молдова,Молдова,Вихід,376615.0
2020-01-07,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9196099.0
2020-01-07,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5539115.0
2020-01-07,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27285041.0
2020-01-07,Транскордонні точки,ГВС Суджа,Росія,Вхід,64231203.0
2020-01-07,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11679204.0
2020-01-07,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,55984631.0
2020-01-08,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1966808.63
2020-01-08,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51646191.41
2020-01-08,Мережі ОГРМ,ОГРМ,Україна,Вихід,125031296.5
2020-01-08,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,20904.0
2020-01-08,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,77314289.0
2020-01-08,Прямі споживачі,Прямі споживачі,Україна,Вихід,8348781.49
2020-01-08,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,11060747.0
2020-01-08,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,14990328.0
2020-01-08,Транскордонні точки,ГВС Каушани,Молдова,Вхід,7216710.0
2020-01-08,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,4535524.0
2020-01-08,Транскордонні точки,Республіка Молдова,Молдова,Вихід,327968.0
2020-01-08,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9101905.0
2020-01-08,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,6319837.0
2020-01-08,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27893855.0
2020-01-08,Транскордонні точки,ГВС Суджа,Росія,Вхід,80075261.0
2020-01-08,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,10380706.0
2020-01-08,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,69690262.0
2020-01-09,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1836263.6
2020-01-09,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51595523.08
2020-01-09,Мережі ОГРМ,ОГРМ,Україна,Вихід,122512399.4
2020-01-09,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,19615.0
2020-01-09,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,76685192.0
2020-01-09,Прямі споживачі,Прямі споживачі,Україна,Вихід,8355470.46
2020-01-09,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10599065.0
2020-01-09,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,16182356.0
2020-01-09,Транскордонні точки,ГВС Каушани,Молдова,Вхід,7687789.0
2020-01-09,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3239562.0
2020-01-09,Транскордонні точки,Республіка Молдова,Молдова,Вихід,1447843.0
2020-01-09,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9084688.0
2020-01-09,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,4224431.0
2020-01-09,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27277444.0
2020-01-09,Транскордонні точки,ГВС Суджа,Росія,Вхід,90387933.0
2020-01-09,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,10403984.0
2020-01-09,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,81318670.0
2020-01-10,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1736367.44
2020-01-10,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51616905.84
2020-01-10,Мережі ОГРМ,ОГРМ,Україна,Вихід,116100933.5
2020-01-10,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,18862.0
2020-01-10,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,75748865.0
2020-01-10,Прямі споживачі,Прямі споживачі,Україна,Вихід,8020706.66
2020-01-10,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10790629.0
2020-01-10,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12494195.0
2020-01-10,Транскордонні точки,ГВС Каушани,Молдова,Вхід,4856073.0
2020-01-10,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3551540.0
2020-01-10,Транскордонні точки,Республіка Молдова,Молдова,Вихід,348871.0
2020-01-10,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9066571.0
2020-01-10,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,4091137.0
2020-01-10,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27296515.0
2020-01-10,Транскордонні точки,ГВС Суджа,Росія,Вхід,89574313.0
2020-01-10,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11707297.0
2020-01-10,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,80140273.0
2020-01-11,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1655469.91
2020-01-11,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51616040.53
2020-01-11,Мережі ОГРМ,ОГРМ,Україна,Вихід,112235804.4
2020-01-11,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,18056.0
2020-01-11,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,70449221.0
2020-01-11,Прямі споживачі,Прямі споживачі,Україна,Вихід,7850048.71
2020-01-11,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10328650.0
2020-01-11,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12927400.0
2020-01-11,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6322847.0
2020-01-11,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,4159631.0
2020-01-11,Транскордонні точки,Республіка Молдова,Молдова,Вихід,946540.0
2020-01-11,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9086579.0
2020-01-11,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,4527211.0
2020-01-11,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27233086.0
2020-01-11,Транскордонні точки,ГВС Суджа,Росія,Вхід,66430791.0
2020-01-11,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11704146.0
2020-01-11,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,56748348.0
2020-01-12,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1783871.65
2020-01-12,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51598137.64
2020-01-12,Мережі ОГРМ,ОГРМ,Україна,Вихід,114583072.0
2020-01-12,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,20351.0
2020-01-12,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,67101902.0
2020-01-12,Прямі споживачі,Прямі споживачі,Україна,Вихід,8007378.97
2020-01-12,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,9881671.0
2020-01-12,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12211645.0
2020-01-12,Транскордонні точки,ГВС Каушани,Молдова,Вхід,5840991.0
2020-01-12,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,3717628.0
2020-01-12,Транскордонні точки,Республіка Молдова,Молдова,Вихід,565888.0
2020-01-12,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9224748.0
2020-01-12,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,4502543.0
2020-01-12,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27303732.0
2020-01-12,Транскордонні точки,ГВС Суджа,Росія,Вхід,54256226.0
2020-01-12,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11705990.0
2020-01-12,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,43693594.0
2020-01-13,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,1811427.96
2020-01-13,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,51495313.51
2020-01-13,Мережі ОГРМ,ОГРМ,Україна,Вихід,114161983.5
2020-01-13,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,19609.0
2020-01-13,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,43914939.0
2020-01-13,Прямі споживачі,Прямі споживачі,Україна,Вихід,7860820.22
2020-01-13,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,11892354.0
2020-01-13,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,13595286.0
2020-01-13,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6773073.0
2020-01-13,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,4335399.0
2020-01-13,Транскордонні точки,Республіка Молдова,Молдова,Вихід,753831.0
2020-01-13,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9104600.0
2020-01-13,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5156020.0
2020-01-13,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27310850.0
2020-01-13,Транскордонні точки,ГВС Суджа,Росія,Вхід,91530990.0
2020-01-13,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11716932.0
2020-01-13,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,87922853.0
2020-01-14,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,2282256.94
2020-01-14,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,52180889.29
2020-01-14,Мережі ОГРМ,ОГРМ,Україна,Вихід,112007363.3
2020-01-14,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,16279.0
2020-01-14,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,63690380.0
2020-01-14,Прямі споживачі,Прямі споживачі,Україна,Вихід,7941143.81
2020-01-14,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10695623.0
2020-01-14,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,13173418.0
2020-01-14,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6704593.0
2020-01-14,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,4253176.0
2020-01-14,Транскордонні точки,Республіка Молдова,Молдова,Вихід,771626.0
2020-01-14,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9175200.0
2020-01-14,Транскордонні точки,ГВС Германовичі,Польща,Вхід,749867.0
2020-01-14,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5401960.0
2020-01-14,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27243073.0
2020-01-14,Транскордонні точки,ГВС Суджа,Росія,Вхід,96561764.0
2020-01-14,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11694849.0
2020-01-14,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,86347581.0
2020-01-15,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,2521543.54
2020-01-15,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,52075302.37
2020-01-15,Мережі ОГРМ,ОГРМ,Україна,Вихід,112733043.9
2020-01-15,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,15742.0
2020-01-15,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,56443590.0
2020-01-15,Прямі споживачі,Прямі споживачі,Україна,Вихід,7954115.92
2020-01-15,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,11251396.0
2020-01-15,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,13436873.0
2020-01-15,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6636700.0
2020-01-15,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,4177238.0
2020-01-15,Транскордонні точки,Республіка Молдова,Молдова,Вихід,662063.0
2020-01-15,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9037230.0
2020-01-15,Транскордонні точки,ГВС Германовичі,Польща,Вхід,664094.0
2020-01-15,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5478043.0
2020-01-15,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27322915.0
2020-01-15,Транскордонні точки,ГВС Суджа,Росія,Вхід,76797474.0
2020-01-15,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11757300.0
2020-01-15,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,62292783.0
2020-01-16,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,2381390.52
2020-01-16,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,52095350.19
2020-01-16,Мережі ОГРМ,ОГРМ,Україна,Вихід,116155389.8
2020-01-16,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,16515.0
2020-01-16,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,67324795.0
2020-01-16,Прямі споживачі,Прямі споживачі,Україна,Вихід,8110578.07
2020-01-16,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10548082.0
2020-01-16,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,13037824.0
2020-01-16,Транскордонні точки,ГВС Каушани,Молдова,Вхід,7155222.0
2020-01-16,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,4891005.0
2020-01-16,Транскордонні точки,Республіка Молдова,Молдова,Вихід,721643.0
2020-01-16,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9213112.0
2020-01-16,Транскордонні точки,ГВС Германовичі,Польща,Вхід,772551.0
2020-01-16,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5569104.0
2020-01-16,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27306819.0
2020-01-16,Транскордонні точки,ГВС Суджа,Росія,Вхід,73405987.0
2020-01-16,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11698289.0
2020-01-16,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,63563666.0
2020-01-17,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,2461724.01
2020-01-17,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,52425918.01
2020-01-17,Мережі ОГРМ,ОГРМ,Україна,Вихід,116413894.8
2020-01-17,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,16326.0
2020-01-17,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,69220924.0
2020-01-17,Прямі споживачі,Прямі споживачі,Україна,Вихід,7837303.53
2020-01-17,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10910403.0
2020-01-17,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12431398.0
2020-01-17,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6613658.0
2020-01-17,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,5117601.0
2020-01-17,Транскордонні точки,Республіка Молдова,Молдова,Вихід,650691.0
2020-01-17,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,9134797.0
2020-01-17,Транскордонні точки,ГВС Германовичі,Польща,Вхід,742171.0
2020-01-17,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5283057.0
2020-01-17,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,27329028.0
2020-01-17,Транскордонні точки,ГВС Суджа,Росія,Вхід,48752570.0
2020-01-17,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,11694419.0
2020-01-17,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,44006495.0
2020-01-18,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,2744641.17
2020-01-18,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,52519957.52
2020-01-18,Мережі ОГРМ,ОГРМ,Україна,Вихід,119437543.9
2020-01-18,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,17199.0
2020-01-18,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,66956217.0
2020-01-18,Прямі споживачі,Прямі споживачі,Україна,Вихід,7884826.25
2020-01-18,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10010977.0
2020-01-18,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,11908328.0
2020-01-18,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6312490.0
2020-01-18,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,5163775.0
2020-01-18,Транскордонні точки,Республіка Молдова,Молдова,Вихід,650691.0
2020-01-18,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,8099555.0
2020-01-18,Транскордонні точки,ГВС Германовичі,Польща,Вхід,1032820.0
2020-01-18,Транскордонні точки,Ісакча/Орловка,Румунія,Вихід,5127935.0
2020-01-18,Транскордонні точки,ГВС Сохранiвка,Росія,Вхід,23624336.0
2020-01-18,Транскордонні точки,ГВС Суджа,Росія,Вхід,32896409.0
2020-01-18,Транскордонні точки,ГВС Будiнце,Словаччина,Вхід,12273872.0
2020-01-18,Транскордонні точки,Ужгород/Велькі Капушани,Словаччина,Вихід,16884925.0
2020-01-19,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вихід,2625858.8
2020-01-19,Мережі газовидобувних підприємств,Газовидобувні підприємства,Україна,Вхід,52501420.11
2020-01-19,Мережі ОГРМ,ОГРМ,Україна,Вихід,120930787.3
2020-01-19,Підземні сховища газу,Підземні сховища газу,Україна,Вихід,17736.0
2020-01-19,Підземні сховища газу,Підземні сховища газу,Україна,Вхід,67688220.0
2020-01-19,Прямі споживачі,Прямі споживачі,Україна,Вихід,8075307.22
2020-01-19,Транскордонні точки,ГВС Берегово,Угорщина,Вихід,10330966.0
2020-01-19,Транскордонні точки,ГВС Гребеники,Молдова,Вихід,12055609.0
2020-01-19,Транскордонні точки,ГВС Каушани,Молдова,Вхід,6731836.0
2020-01-19,Транскордонні точки,ГВС Олексіївка,Молдова,Вихід,5330655.0
2020-01-19,Транскордонні точки,Республіка Молдова,Молдова,Вихід,681510.0
2020-01-19,Транскордонні точки,ГВС Дроздовичі,Польща,Вихід,8151847.0
2020-01-19,Транскордонні точки,ГВС Германовичі,Польща,Вхід,969788.0
